Product Title,Images,Description,Short description,SKU,Brands
Fanuc A06B-2237-B202,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B202 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B202 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B202,Fanuc
Fanuc A06B-2237-B202#0100,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B202#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B202#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B202,Fanuc
Fanuc A06B-2237-B300,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B300 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B300 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B300,Fanuc
Fanuc A06B-2237-B300#0100,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B300#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B300#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B300,Fanuc
Fanuc A06B-2237-B302,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B302 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B302 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B302,Fanuc
Fanuc A06B-2237-B302#0100,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B302#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B302#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B302,Fanuc
Fanuc A06B-2237-B400,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B400 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B400 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B400,Fanuc
Fanuc A06B-2237-B400#0100,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B400#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B400#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B400,Fanuc
Fanuc A06B-2237-B402,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B402 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B402 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B402,Fanuc
Fanuc A06B-2237-B402#0100,"https://www.yaotaishcnc.com/data/watermark/20230725/fanuc_.jpg, https://www.yaotaishcnc.com/data/watermark/20230725/fanuc1_.jpg","Brand: Fanuc 
Module number: A06B-2237-B402#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T","Brand: Fanuc 
Module number: A06B-2237-B402#0100 
Condition: new and used 
Quality: 100% tested ok 
Warranty: 1 year for new, 6 months for used 
Shipment Terms: DHL UPS FEDEX EMS 
Payment Terms: Paypal / T T",A06B-2237-B402,Fanuc
